case_id,method,rank,pathway,matched_genes,score,specificity,direct_relation_bonus,match_mode,is_expected_hit
HRR_repair,GraphRAG-Gene full,1,DNA Double-Strand Break Repair,BRCA2;CHEK2;PALB2,31.25,1.0,0.25,synonym,1
HRR_repair,GraphRAG-Gene full,2,DNA Repair,BRCA2;CHEK2;PALB2,31.25,1.0,0.25,synonym,1
HRR_repair,GraphRAG-Gene full,3,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,BRCA2;PALB2,21.25,1.0,0.25,synonym,1
HRR_repair,GraphRAG-Gene full,4,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,BRCA2;PALB2,21.25,1.0,0.25,synonym,1
HRR_repair,GraphRAG-Gene full,5,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,BRCA2;PALB2,21.25,1.0,0.25,synonym,1
HRR_repair,GraphRAG-Gene full,6,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,BRCA2;PALB2,21.25,1.0,0.25,synonym,1
HRR_repair,GraphRAG-Gene full,7,Defective homologous recombination repair (HRR) due to PALB2 loss of function,BRCA2;PALB2,21.25,1.0,0.25,synonym,1
HRR_repair,GraphRAG-Gene full,8,HDR through Homologous Recombination (HRR),BRCA2;PALB2,21.25,1.0,0.25,synonym,1
HRR_repair,GraphRAG-Gene full,9,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),BRCA2;PALB2,21.25,1.0,0.25,synonym,1
HRR_repair,GraphRAG-Gene full,10,Homologous DNA Pairing and Strand Exchange,BRCA2;PALB2,21.25,1.0,0.25,synonym,0
HRR_repair,No direct-relation bonus,1,DNA Double-Strand Break Repair,BRCA2;CHEK2;PALB2,31.0,1.0,0.0,synonym,1
HRR_repair,No direct-relation bonus,2,DNA Repair,BRCA2;CHEK2;PALB2,31.0,1.0,0.0,synonym,1
HRR_repair,No direct-relation bonus,3,Cell Cycle,BRCA2;CHEK2,21.0,1.0,0.0,synonym,0
HRR_repair,No direct-relation bonus,4,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,BRCA2;PALB2,21.0,1.0,0.0,synonym,1
HRR_repair,No direct-relation bonus,5,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,BRCA2;PALB2,21.0,1.0,0.0,synonym,1
HRR_repair,No direct-relation bonus,6,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,BRCA2;PALB2,21.0,1.0,0.0,synonym,1
HRR_repair,No direct-relation bonus,7,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,BRCA2;PALB2,21.0,1.0,0.0,synonym,1
HRR_repair,No direct-relation bonus,8,Defective homologous recombination repair (HRR) due to PALB2 loss of function,BRCA2;PALB2,21.0,1.0,0.0,synonym,1
HRR_repair,No direct-relation bonus,9,HDR through Homologous Recombination (HRR),BRCA2;PALB2,21.0,1.0,0.0,synonym,1
HRR_repair,No direct-relation bonus,10,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),BRCA2;PALB2,21.0,1.0,0.0,synonym,1
HRR_repair,No specificity weighting,1,DNA Double-Strand Break Repair,BRCA2;CHEK2;PALB2,30.25,1.0,0.25,synonym,1
HRR_repair,No specificity weighting,2,DNA Repair,BRCA2;CHEK2;PALB2,30.25,1.0,0.25,synonym,1
HRR_repair,No specificity weighting,3,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,BRCA2;PALB2,20.25,1.0,0.25,synonym,1
HRR_repair,No specificity weighting,4,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,BRCA2;PALB2,20.25,1.0,0.25,synonym,1
HRR_repair,No specificity weighting,5,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,BRCA2;PALB2,20.25,1.0,0.25,synonym,1
HRR_repair,No specificity weighting,6,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,BRCA2;PALB2,20.25,1.0,0.25,synonym,1
HRR_repair,No specificity weighting,7,Defective homologous recombination repair (HRR) due to PALB2 loss of function,BRCA2;PALB2,20.25,1.0,0.25,synonym,1
HRR_repair,No specificity weighting,8,Disease,BRCA2;PALB2,20.25,0.85,0.25,synonym,0
HRR_repair,No specificity weighting,9,Diseases of DNA Double-Strand Break Repair,BRCA2;PALB2,20.25,0.7,0.25,synonym,1
HRR_repair,No specificity weighting,10,Diseases of DNA repair,BRCA2;PALB2,20.25,0.7,0.25,synonym,1
HRR_repair,Overlap count only,1,DNA Double-Strand Break Repair,BRCA2;CHEK2;PALB2,3.0,1.0,0.0,synonym,1
HRR_repair,Overlap count only,2,DNA Repair,BRCA2;CHEK2;PALB2,3.0,1.0,0.0,synonym,1
