case_id,genes,expected_keywords,method,match_mode,top1_hit,top3_hit,top5_hit,top1_pathway,top3_pathways,top5_pathways,mean_top5_specificity
HRR_repair,BRCA2;PALB2;CHEK2,dna repair;dna double-strand break repair;homologous recombination;hrr;homology directed repair,GraphRAG-Gene full,strict,1,1,1,DNA Double-Strand Break Repair,DNA Double-Strand Break Repair | DNA Repair | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,DNA Double-Strand Break Repair | DNA Repair | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function | Defective homologous recombination repair (HRR) due to BRCA1 loss of function,1.0
HRR_repair,BRCA2;PALB2;CHEK2,dna repair;dna double-strand break repair;homologous recombination;hrr;homology directed repair,No direct-relation bonus,strict,1,1,1,DNA Double-Strand Break Repair,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,1.0
HRR_repair,BRCA2;PALB2;CHEK2,dna repair;dna double-strand break repair;homologous recombination;hrr;homology directed repair,No specificity weighting,strict,1,1,1,DNA Double-Strand Break Repair,DNA Double-Strand Break Repair | DNA Repair | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,DNA Double-Strand Break Repair | DNA Repair | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function | Defective homologous recombination repair (HRR) due to BRCA1 loss of function,1.0
HRR_repair,BRCA2;PALB2;CHEK2,dna repair;dna double-strand break repair;homologous recombination;hrr;homology directed repair,Overlap count only,strict,1,1,1,DNA Double-Strand Break Repair,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,1.0
Mitochondrial_respiration,NDUFS4;SDHA;SURF1,respiratory electron transport;aerobic respiration;atp synthesis;complex i;citric acid cycle,GraphRAG-Gene full,strict,1,1,1,Aerobic respiration and respiratory electron transport,"Aerobic respiration and respiratory electron transport | Respiratory electron transport | Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","Aerobic respiration and respiratory electron transport | Respiratory electron transport | Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. | Metabolism | Citric acid cycle (TCA cycle)",0.97
Mitochondrial_respiration,NDUFS4;SDHA;SURF1,respiratory electron transport;aerobic respiration;atp synthesis;complex i;citric acid cycle,No direct-relation bonus,strict,1,1,1,Aerobic respiration and respiratory electron transport,"Aerobic respiration and respiratory electron transport | Respiratory electron transport | Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","Aerobic respiration and respiratory electron transport | Respiratory electron transport | Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. | Metabolism | Citric acid cycle (TCA cycle)",0.97
Mitochondrial_respiration,NDUFS4;SDHA;SURF1,respiratory electron transport;aerobic respiration;atp synthesis;complex i;citric acid cycle,No specificity weighting,strict,1,1,1,Aerobic respiration and respiratory electron transport,Aerobic respiration and respiratory electron transport | Metabolism | Respiratory electron transport,"Aerobic respiration and respiratory electron transport | Metabolism | Respiratory electron transport | Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. | Cellular response to chemical stress",0.94
Mitochondrial_respiration,NDUFS4;SDHA;SURF1,respiratory electron transport;aerobic respiration;atp synthesis;complex i;citric acid cycle,Overlap count only,strict,1,1,1,Aerobic respiration and respiratory electron transport,Aerobic respiration and respiratory electron transport | Metabolism | Respiratory electron transport,"Aerobic respiration and respiratory electron transport | Metabolism | Respiratory electron transport | Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. | Cellular response to chemical stress",0.94
DNA_damage_checkpoint,ATM;ATR;CHEK1,dna damage checkpoint;cell cycle checkpoints;g1/s dna damage checkpoints;g2/m dna damage checkpoint,GraphRAG-Gene full,strict,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair | DNA Repair | G2/M Checkpoints,1.0
DNA_damage_checkpoint,ATM;ATR;CHEK1,dna damage checkpoint;cell cycle checkpoints;g1/s dna damage checkpoints;g2/m dna damage checkpoint,No direct-relation bonus,strict,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair | DNA Repair | G2/M Checkpoints,1.0
DNA_damage_checkpoint,ATM;ATR;CHEK1,dna damage checkpoint;cell cycle checkpoints;g1/s dna damage checkpoints;g2/m dna damage checkpoint,No specificity weighting,strict,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair | DNA Repair | G2/M Checkpoints,1.0
