case_id,genes,expected_keywords,method,match_mode,top1_hit,top3_hit,top5_hit,top1_pathway,top3_pathways,top5_pathways,mean_top5_specificity
HRR_repair,BRCA2;PALB2;CHEK2,dna repair;dna double-strand break repair;homologous recombination;hrr;homology directed repair,Gene-only retrieval,synonym,1,1,1,DNA Double-Strand Break Repair,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,1.0
HRR_repair,BRCA2;PALB2;CHEK2,dna repair;dna double-strand break repair;homologous recombination;hrr;homology directed repair,Pathway-only retrieval,synonym,1,1,1,DNA Double-Strand Break Repair,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,1.0
HRR_repair,BRCA2;PALB2;CHEK2,dna repair;dna double-strand break repair;homologous recombination;hrr;homology directed repair,GraphRAG-Gene,synonym,1,1,1,DNA Double-Strand Break Repair,DNA Double-Strand Break Repair | DNA Repair | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,DNA Double-Strand Break Repair | DNA Repair | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function | Defective homologous recombination repair (HRR) due to BRCA1 loss of function,1.0
Mitochondrial_respiration,NDUFS4;SDHA;SURF1,respiratory electron transport;aerobic respiration;atp synthesis;complex i;citric acid cycle,Gene-only retrieval,synonym,1,1,1,Aerobic respiration and respiratory electron transport,Aerobic respiration and respiratory electron transport | Metabolism | Respiratory electron transport,"Aerobic respiration and respiratory electron transport | Metabolism | Respiratory electron transport | Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. | Cellular response to chemical stress",0.94
Mitochondrial_respiration,NDUFS4;SDHA;SURF1,respiratory electron transport;aerobic respiration;atp synthesis;complex i;citric acid cycle,Pathway-only retrieval,synonym,1,1,1,Aerobic respiration and respiratory electron transport,Aerobic respiration and respiratory electron transport | Metabolism | Respiratory electron transport,"Aerobic respiration and respiratory electron transport | Metabolism | Respiratory electron transport | Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. | Cellular response to chemical stress",0.94
Mitochondrial_respiration,NDUFS4;SDHA;SURF1,respiratory electron transport;aerobic respiration;atp synthesis;complex i;citric acid cycle,GraphRAG-Gene,synonym,1,1,1,Aerobic respiration and respiratory electron transport,"Aerobic respiration and respiratory electron transport | Respiratory electron transport | Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","Aerobic respiration and respiratory electron transport | Respiratory electron transport | Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. | Metabolism | Citric acid cycle (TCA cycle)",0.97
DNA_damage_checkpoint,ATM;ATR;CHEK1,dna damage checkpoint;cell cycle checkpoints;g1/s dna damage checkpoints;g2/m dna damage checkpoint,Gene-only retrieval,synonym,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | Activation of ATR in response to replication stress,Cell Cycle | Cell Cycle Checkpoints | Activation of ATR in response to replication stress | Cellular response to heat stress | Cellular responses to stimuli,0.91
DNA_damage_checkpoint,ATM;ATR;CHEK1,dna damage checkpoint;cell cycle checkpoints;g1/s dna damage checkpoints;g2/m dna damage checkpoint,Pathway-only retrieval,synonym,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair | DNA Repair | G2/M Checkpoints,1.0
DNA_damage_checkpoint,ATM;ATR;CHEK1,dna damage checkpoint;cell cycle checkpoints;g1/s dna damage checkpoints;g2/m dna damage checkpoint,GraphRAG-Gene,synonym,0,1,1,Cell Cycle,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair,Cell Cycle | Cell Cycle Checkpoints | DNA Double-Strand Break Repair | DNA Repair | G2/M Checkpoints,1.0
Apoptosis,CASP3;CASP8;BAX,apoptosis;programmed cell death;caspase,Gene-only retrieval,synonym,1,1,1,Apoptosis,Apoptosis | Apoptotic cleavage of cellular proteins | Apoptotic execution phase,Apoptosis | Apoptotic cleavage of cellular proteins | Apoptotic execution phase | Apoptotic factor-mediated response | Caspase activation via extrinsic apoptotic signalling pathway,1.0
Apoptosis,CASP3;CASP8;BAX,apoptosis;programmed cell death;caspase,Pathway-only retrieval,synonym,1,1,1,Apoptosis,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death,Apoptosis | Intrinsic Pathway for Apoptosis | Programmed Cell Death | Regulated Necrosis | Signal Transduction,0.97
