case_id,method,rank,pathway,matched_genes,score,specificity,match_mode,is_expected_hit
HRR_repair,Gene-only retrieval,1,DNA Double-Strand Break Repair,BRCA2;CHEK2;PALB2,3.0,1.0,synonym,1
HRR_repair,Gene-only retrieval,2,DNA Repair,BRCA2;CHEK2;PALB2,3.0,1.0,synonym,1
HRR_repair,Gene-only retrieval,3,Cell Cycle,BRCA2;CHEK2,2.0,1.0,synonym,0
HRR_repair,Gene-only retrieval,4,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,BRCA2;PALB2,2.0,1.0,synonym,1
HRR_repair,Gene-only retrieval,5,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,BRCA2;PALB2,2.0,1.0,synonym,1
HRR_repair,Gene-only retrieval,6,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,BRCA2;PALB2,2.0,1.0,synonym,1
HRR_repair,Gene-only retrieval,7,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,BRCA2;PALB2,2.0,1.0,synonym,1
HRR_repair,Gene-only retrieval,8,Defective homologous recombination repair (HRR) due to PALB2 loss of function,BRCA2;PALB2,2.0,1.0,synonym,1
HRR_repair,Gene-only retrieval,9,Cell Cycle Checkpoints,CHEK2,1.0,1.0,synonym,0
HRR_repair,Gene-only retrieval,10,Cellular response to chemical stress,PALB2,1.0,0.85,synonym,0
HRR_repair,Pathway-only retrieval,1,DNA Double-Strand Break Repair,BRCA2;CHEK2;PALB2,3.0,1.0,synonym,1
HRR_repair,Pathway-only retrieval,2,DNA Repair,BRCA2;CHEK2;PALB2,3.0,1.0,synonym,1
HRR_repair,Pathway-only retrieval,3,Cell Cycle,BRCA2;CHEK2,2.0,1.0,synonym,0
HRR_repair,Pathway-only retrieval,4,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,BRCA2;PALB2,2.0,1.0,synonym,1
HRR_repair,Pathway-only retrieval,5,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,BRCA2;PALB2,2.0,1.0,synonym,1
HRR_repair,Pathway-only retrieval,6,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,BRCA2;PALB2,2.0,1.0,synonym,1
HRR_repair,Pathway-only retrieval,7,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,BRCA2;PALB2,2.0,1.0,synonym,1
HRR_repair,Pathway-only retrieval,8,Defective homologous recombination repair (HRR) due to PALB2 loss of function,BRCA2;PALB2,2.0,1.0,synonym,1
HRR_repair,Pathway-only retrieval,9,Disease,BRCA2;PALB2,2.0,0.85,synonym,0
HRR_repair,Pathway-only retrieval,10,Diseases of DNA Double-Strand Break Repair,BRCA2;PALB2,2.0,0.7,synonym,1
HRR_repair,GraphRAG-Gene,1,DNA Double-Strand Break Repair,BRCA2;CHEK2;PALB2,31.25,1.0,synonym,1
HRR_repair,GraphRAG-Gene,2,DNA Repair,BRCA2;CHEK2;PALB2,31.25,1.0,synonym,1
HRR_repair,GraphRAG-Gene,3,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,BRCA2;PALB2,21.25,1.0,synonym,1
HRR_repair,GraphRAG-Gene,4,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,BRCA2;PALB2,21.25,1.0,synonym,1
HRR_repair,GraphRAG-Gene,5,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,BRCA2;PALB2,21.25,1.0,synonym,1
HRR_repair,GraphRAG-Gene,6,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,BRCA2;PALB2,21.25,1.0,synonym,1
HRR_repair,GraphRAG-Gene,7,Defective homologous recombination repair (HRR) due to PALB2 loss of function,BRCA2;PALB2,21.25,1.0,synonym,1
HRR_repair,GraphRAG-Gene,8,HDR through Homologous Recombination (HRR),BRCA2;PALB2,21.25,1.0,synonym,1
HRR_repair,GraphRAG-Gene,9,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),BRCA2;PALB2,21.25,1.0,synonym,1
HRR_repair,GraphRAG-Gene,10,Homologous DNA Pairing and Strand Exchange,BRCA2;PALB2,21.25,1.0,synonym,0
Mitochondrial_respiration,Gene-only retrieval,1,Aerobic respiration and respiratory electron transport,NDUFS4;SDHA;SURF1,3.0,1.0,synonym,1
Mitochondrial_respiration,Gene-only retrieval,2,Metabolism,NDUFS4;SDHA;SURF1,3.0,0.85,synonym,0
Mitochondrial_respiration,Gene-only retrieval,3,Respiratory electron transport,NDUFS4;SDHA;SURF1,3.0,1.0,synonym,1
Mitochondrial_respiration,Gene-only retrieval,4,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",NDUFS4;SDHA,2.0,1.0,synonym,1
Mitochondrial_respiration,Gene-only retrieval,5,Cellular response to chemical stress,SURF1,1.0,0.85,synonym,0
Mitochondrial_respiration,Gene-only retrieval,6,Cellular responses to stimuli,SURF1,1.0,0.7,synonym,0
Mitochondrial_respiration,Gene-only retrieval,7,Cellular responses to stress,SURF1,1.0,0.7,synonym,0
Mitochondrial_respiration,Gene-only retrieval,8,Citric acid cycle (TCA cycle),SDHA,1.0,1.0,synonym,1
Mitochondrial_respiration,Gene-only retrieval,9,Complex I biogenesis,NDUFS4,1.0,1.0,synonym,1
Mitochondrial_respiration,Gene-only retrieval,10,Cytoprotection by HMOX1,SURF1,1.0,1.0,synonym,0
Mitochondrial_respiration,Pathway-only retrieval,1,Aerobic respiration and respiratory electron transport,NDUFS4;SDHA;SURF1,3.0,1.0,synonym,1
Mitochondrial_respiration,Pathway-only retrieval,2,Metabolism,NDUFS4;SDHA;SURF1,3.0,0.85,synonym,0
Mitochondrial_respiration,Pathway-only retrieval,3,Respiratory electron transport,NDUFS4;SDHA;SURF1,3.0,1.0,synonym,1
Mitochondrial_respiration,Pathway-only retrieval,4,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",NDUFS4;SDHA;SURF1,3.0,1.0,synonym,1
Mitochondrial_respiration,Pathway-only retrieval,5,Cellular response to chemical stress,SURF1,1.0,0.85,synonym,0
Mitochondrial_respiration,Pathway-only retrieval,6,Cellular responses to stimuli,SURF1,1.0,0.7,synonym,0
Mitochondrial_respiration,Pathway-only retrieval,7,Cellular responses to stress,SURF1,1.0,0.7,synonym,0
Mitochondrial_respiration,Pathway-only retrieval,8,Citric acid cycle (TCA cycle),SDHA,1.0,1.0,synonym,1
Mitochondrial_respiration,Pathway-only retrieval,9,Complex I biogenesis,NDUFS4,1.0,1.0,synonym,1
Mitochondrial_respiration,Pathway-only retrieval,10,Cytoprotection by HMOX1,SURF1,1.0,1.0,synonym,0
Mitochondrial_respiration,GraphRAG-Gene,1,Aerobic respiration and respiratory electron transport,NDUFS4;SDHA;SURF1,31.25,1.0,synonym,1
Mitochondrial_respiration,GraphRAG-Gene,2,Respiratory electron transport,NDUFS4;SDHA;SURF1,31.25,1.0,synonym,1
Mitochondrial_respiration,GraphRAG-Gene,3,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",NDUFS4;SDHA;SURF1,31.25,1.0,synonym,1
Mitochondrial_respiration,GraphRAG-Gene,4,Metabolism,NDUFS4;SDHA;SURF1,31.1,0.85,synonym,0
Mitochondrial_respiration,GraphRAG-Gene,5,Citric acid cycle (TCA cycle),SDHA,11.0,1.0,synonym,1
Mitochondrial_respiration,GraphRAG-Gene,6,Complex I biogenesis,NDUFS4,11.0,1.0,synonym,1
Mitochondrial_respiration,GraphRAG-Gene,7,Cytoprotection by HMOX1,SURF1,11.0,1.0,synonym,0
Mitochondrial_respiration,GraphRAG-Gene,8,Maturation of TCA enzymes and regulation of TCA cycle,SDHA,11.0,1.0,synonym,0
Mitochondrial_respiration,GraphRAG-Gene,9,TP53 Regulates Metabolic Genes,SURF1,11.0,1.0,synonym,0
Mitochondrial_respiration,GraphRAG-Gene,10,Cellular response to chemical stress,SURF1,10.85,0.85,synonym,0
DNA_damage_checkpoint,Gene-only retrieval,1,Cell Cycle,ATM;ATR;CHEK1,3.0,1.0,synonym,0
DNA_damage_checkpoint,Gene-only retrieval,2,Cell Cycle Checkpoints,ATM;ATR;CHEK1,3.0,1.0,synonym,1
DNA_damage_checkpoint,Gene-only retrieval,3,Activation of ATR in response to replication stress,ATR;CHEK1,2.0,1.0,synonym,0
DNA_damage_checkpoint,Gene-only retrieval,4,Cellular response to heat stress,ATM;ATR,2.0,0.85,synonym,0
DNA_damage_checkpoint,Gene-only retrieval,5,Cellular responses to stimuli,ATM;ATR,2.0,0.7,synonym,0
DNA_damage_checkpoint,Gene-only retrieval,6,Cellular responses to stress,ATM;ATR,2.0,0.7,synonym,0
DNA_damage_checkpoint,Gene-only retrieval,7,DNA Double-Strand Break Repair,ATR;CHEK1,2.0,1.0,synonym,0
